stage,case_id,backend,family,kind,count,status,engine,fallback_reason,space_size,visited,evaluated,preparation_evaluations,pruned_states,solutions_seen,required_cells,certificate_bytes,diagnosis_seconds,exhausted_budget,shard_path,shard_sha256
development,f6a02fce89d92dfc7259acee,v4,product,candidate_dependency,16,budget_exceeded,exhaustive,candidate_dependency,65536,8208,4096,0,0,0,16,328393,2.830738667999867,max_evaluations,results/v518_development_predictions_v1/shards/v4_numeric/f6a02fce89d92dfc7259acee.json,acc9b69737c3141671de27171a993bd952fbf9fbb7c14ceff7fec66a7bf8f7e9
development,f6a02fce89d92dfc7259acee,v511,product,candidate_dependency,16,budget_exceeded,exhaustive,candidate_dependency,65536,8208,4096,0,0,0,16,328393,2.830175235999377,max_evaluations,results/v518_development_predictions_v1/shards/v511_numeric/f6a02fce89d92dfc7259acee.json,9d04221ebf46412fcd87c787a25e4232de2e590c8281757f28888a3446684951
development,3eb5c85b71c188603efe7f6a,v4,product,weak_bounds,16,budget_exceeded,independent_binary64_bounds,,65536,10000,0,34,12926,0,16,383710,0.363069627999721,max_nodes,results/v518_development_predictions_v1/shards/v4_numeric/3eb5c85b71c188603efe7f6a.json,87fb1b745559b0751f8fae5e6a272a278ce429fb38927d6f9caf490fc08e0034
development,3eb5c85b71c188603efe7f6a,v511,product,weak_bounds,16,budget_exceeded,independent_binary64_bounds,,65536,10000,0,34,12926,0,16,383710,0.36046806199919956,max_nodes,results/v518_development_predictions_v1/shards/v511_numeric/3eb5c85b71c188603efe7f6a.json,8c7fb091b6b836af80c63a9dcc42765d2617ed4c5b7fcae7a796339668bca9c2
development,492273705a74dba8cd519f9e,v4,product,candidate_dependency,24,budget_exceeded,exhaustive,candidate_dependency,16777216,8216,4096,0,0,0,24,426700,4.477225028999783,max_evaluations,results/v518_development_predictions_v1/shards/v4_numeric/492273705a74dba8cd519f9e.json,93b1a750f66f8b59cdfd7f4454b4568792f8bc0e5d6e059d8b43ef4c82bc4a86
development,492273705a74dba8cd519f9e,v511,product,candidate_dependency,24,budget_exceeded,exhaustive,candidate_dependency,16777216,8216,4096,0,0,0,24,426700,4.265941003999615,max_evaluations,results/v518_development_predictions_v1/shards/v511_numeric/492273705a74dba8cd519f9e.json,ef7ed920700d75835fbf984f6d5a3a3b15fe6760487c49530c05f41a8dd8f7a4
development,8edce25c922b3f60afb343be,v4,product,weak_bounds,24,budget_exceeded,independent_binary64_bounds,,16777216,10000,0,50,12920,0,24,503235,0.48364609199961706,max_nodes,results/v518_development_predictions_v1/shards/v4_numeric/8edce25c922b3f60afb343be.json,b46d57e3fe9641d84f86de39e63289f0a32881f42727cf024d50bbd6bf607546
development,8edce25c922b3f60afb343be,v511,product,weak_bounds,24,budget_exceeded,independent_binary64_bounds,,16777216,10000,0,50,12920,0,24,503235,0.45913818499957415,max_nodes,results/v518_development_predictions_v1/shards/v511_numeric/8edce25c922b3f60afb343be.json,4eb178732705ac7cd38a18fd1036d4933bf122da0f890cf4faa2fda164733cc9
development,baa764e2d3536591ce1ed4a7,v4,product,candidate_dependency,32,budget_exceeded,exhaustive,candidate_dependency,4294967296,8224,4096,0,0,0,32,525006,5.515221297000608,max_evaluations,results/v518_development_predictions_v1/shards/v4_numeric/baa764e2d3536591ce1ed4a7.json,424ca201f3ed9b0c45085275e7f22dfb696cda4e42e4a437853762563f350e18
development,baa764e2d3536591ce1ed4a7,v511,product,candidate_dependency,32,budget_exceeded,exhaustive,candidate_dependency,4294967296,8224,4096,0,0,0,32,525006,5.312164244999622,max_evaluations,results/v518_development_predictions_v1/shards/v511_numeric/baa764e2d3536591ce1ed4a7.json,6baa3028cebacf2db1bfd1ff9ea603074de46e4ecf86f1b30aedc8bddfe2177c
development,b06d8c14f288de9b6864dca0,v4,product,weak_bounds,32,budget_exceeded,independent_binary64_bounds,,4294967296,10000,0,66,12912,0,32,622570,0.5672400519997609,max_nodes,results/v518_development_predictions_v1/shards/v4_numeric/b06d8c14f288de9b6864dca0.json,b77c231350287f7bb6eb8c48551aa818473d1165ea0257e3e36c94a010159c15
development,b06d8c14f288de9b6864dca0,v511,product,weak_bounds,32,budget_exceeded,independent_binary64_bounds,,4294967296,10000,0,66,12912,0,32,622570,0.5360345049994066,max_nodes,results/v518_development_predictions_v1/shards/v511_numeric/b06d8c14f288de9b6864dca0.json,7c0edb0244d3afd0eedc90e135d8715c89e96a2d048862dce4ce206c34cc3eb8
confirmation,9a1f3c2d182fd7ea037199c7,v4,product,candidate_dependency,24,budget_exceeded,exhaustive,candidate_dependency,16777216,8216,4096,0,0,0,24,426700,4.019680409999637,max_evaluations,results/v518_confirmation_predictions_v1/shards/v4_numeric/9a1f3c2d182fd7ea037199c7.json,5fe4463a78130823649c99a98b6e351b2ff80bc07515d1afdfe04e1b3a0db4ac
confirmation,9a1f3c2d182fd7ea037199c7,v511,product,candidate_dependency,24,budget_exceeded,exhaustive,candidate_dependency,16777216,8216,4096,0,0,0,24,426700,4.02241758800028,max_evaluations,results/v518_confirmation_predictions_v1/shards/v511_numeric/9a1f3c2d182fd7ea037199c7.json,bdfc4e513b66434216c5473bf8fe1a0d0abc3758c83fc465c98ecb1f650fa8f3
confirmation,814f6272ff7d79a8146f1bc2,v4,product,candidate_dependency,24,budget_exceeded,exhaustive,candidate_dependency,16777216,8216,4096,0,0,0,24,426700,4.021206692000305,max_evaluations,results/v518_confirmation_predictions_v1/shards/v4_numeric/814f6272ff7d79a8146f1bc2.json,f3f4a5c187f236fd0dbccad4d039de6f3dbcbe62e777ae56441a2a0cff8618a6
confirmation,814f6272ff7d79a8146f1bc2,v511,product,candidate_dependency,24,budget_exceeded,exhaustive,candidate_dependency,16777216,8216,4096,0,0,0,24,426700,3.9529989330003446,max_evaluations,results/v518_confirmation_predictions_v1/shards/v511_numeric/814f6272ff7d79a8146f1bc2.json,63563a8d5d685992fcca139d00dd7bd0f4e94080b0380ed9ed9ef1fa7d30eca2
confirmation,51e4aee7a7dc359381822f0b,v4,product,weak_bounds,24,budget_exceeded,independent_binary64_bounds,,16777216,10000,0,50,12920,0,24,503235,0.46779308399982256,max_nodes,results/v518_confirmation_predictions_v1/shards/v4_numeric/51e4aee7a7dc359381822f0b.json,e9053e2bb4ea57e860cd5128ccae82f72a2611e0d27956d1788ffd4d2279046c
confirmation,51e4aee7a7dc359381822f0b,v511,product,weak_bounds,24,budget_exceeded,independent_binary64_bounds,,16777216,10000,0,50,12920,0,24,503235,0.4561660990002565,max_nodes,results/v518_confirmation_predictions_v1/shards/v511_numeric/51e4aee7a7dc359381822f0b.json,acad5d20a7a7a45c8c97a6819a952fbcdf96ac4669308147c762b0a76a627021
confirmation,191bcb5268165b56b5056093,v4,product,weak_bounds,24,budget_exceeded,independent_binary64_bounds,,16777216,10000,0,50,12920,0,24,503235,0.45617091600070125,max_nodes,results/v518_confirmation_predictions_v1/shards/v4_numeric/191bcb5268165b56b5056093.json,a060be4c296da3928ccd6017171d9e3d993fd4e847112849171ac1b7a059f5f6
confirmation,191bcb5268165b56b5056093,v511,product,weak_bounds,24,budget_exceeded,independent_binary64_bounds,,16777216,10000,0,50,12920,0,24,503235,0.45297943399964424,max_nodes,results/v518_confirmation_predictions_v1/shards/v511_numeric/191bcb5268165b56b5056093.json,ab4c15e4e23ed69e841325d29d87a506fd3f2f22e57c9228636447aa68200f20
confirmation,23d7f48741536f28b5713142,v4,ratio,candidate_dependency,24,budget_exceeded,exhaustive,candidate_dependency,16777216,8216,4096,0,0,0,24,426700,3.9189862740004173,max_evaluations,results/v518_confirmation_predictions_v1/shards/v4_numeric/23d7f48741536f28b5713142.json,df5f1fbd1f96e539529608381e1bbee0f1000d12c3dfd8acc4a9f4c39dec000f
confirmation,23d7f48741536f28b5713142,v511,ratio,candidate_dependency,24,budget_exceeded,exhaustive,candidate_dependency,16777216,8216,4096,0,0,0,24,426700,3.9194955509992724,max_evaluations,results/v518_confirmation_predictions_v1/shards/v511_numeric/23d7f48741536f28b5713142.json,7c16a4dd5936d32b78ff47842e5ea9182b304cba08c92f6f05f578dae4d9e2c0
confirmation,4385efa3fcf49b8a32ee5578,v4,ratio,candidate_dependency,24,budget_exceeded,exhaustive,candidate_dependency,16777216,8216,4096,0,0,0,24,426700,3.9465165440005876,max_evaluations,results/v518_confirmation_predictions_v1/shards/v4_numeric/4385efa3fcf49b8a32ee5578.json,92042807e9618cd180e7f53b591fcceaaded7ba286c46cd09bf81ef19fda129a
confirmation,4385efa3fcf49b8a32ee5578,v511,ratio,candidate_dependency,24,budget_exceeded,exhaustive,candidate_dependency,16777216,8216,4096,0,0,0,24,426700,3.9366763990001346,max_evaluations,results/v518_confirmation_predictions_v1/shards/v511_numeric/4385efa3fcf49b8a32ee5578.json,f0efd6cb6c5dcb5abcc43ba8fdf9ee8f9f4c91edecc66f95fedafdfdca41912a
