G3 1/192: ['unique_solution', 'unique_solution']
G3 2/192: ['unique_solution', 'unique_solution']
G3 3/192: ['unique_solution', 'unique_solution']
G3 4/192: ['unique_solution', 'unique_solution']
G3 5/192: ['unique_solution', 'unique_solution']
G3 6/192: ['unique_solution', 'unique_solution']
G3 7/192: ['unique_solution', 'unique_solution']
G3 8/192: ['unique_solution', 'unique_solution']
G3 9/192: ['unique_solution', 'unique_solution']
G3 10/192: ['unique_solution', 'unique_solution']
G3 11/192: ['unique_solution', 'unique_solution']
G3 12/192: ['unique_solution', 'unique_solution']
G3 13/192: ['unique_solution', 'unique_solution']
G3 14/192: ['unique_solution', 'unique_solution']
G3 15/192: ['unique_solution', 'unique_solution']
G3 16/192: ['unique_solution', 'unique_solution']
G3 17/192: ['unique_solution', 'unique_solution']
G3 18/192: ['unique_solution', 'unique_solution']
G3 19/192: ['ambiguous_solutions', 'ambiguous_solutions']
G3 20/192: ['original_satisfies_constraints', 'original_satisfies_constraints']
G3 21/192: ['no_solution', 'no_solution']
G3 22/192: ['original_satisfies_constraints', 'original_satisfies_constraints']
G3 23/192: ['original_satisfies_constraints', 'original_satisfies_constraints']
G3 24/192: ['ambiguous_solutions', 'ambiguous_solutions']
G3 25/192: ['ambiguous_solutions', 'ambiguous_solutions']
G3 26/192: ['constraint_rejected:constraint document is not externally approved', 'constraint_rejected:constraint document is not externally approved']
G3 27/192: ['unique_solution', 'unique_solution']
G3 28/192: ['budget_exceeded', 'budget_exceeded']
G3 29/192: ['ambiguous_solutions', 'ambiguous_solutions']
G3 30/192: ['original_satisfies_constraints', 'original_satisfies_constraints']
G3 31/192: ['no_solution', 'no_solution']
G3 32/192: ['original_satisfies_constraints', 'original_satisfies_constraints']
G3 33/192: ['original_satisfies_constraints', 'original_satisfies_constraints']
G3 34/192: ['ambiguous_solutions', 'ambiguous_solutions']
G3 35/192: ['ambiguous_solutions', 'ambiguous_solutions']
G3 36/192: ['constraint_rejected:constraint document is not externally approved', 'constraint_rejected:constraint document is not externally approved']
G3 37/192: ['unique_solution', 'unique_solution']
G3 38/192: ['budget_exceeded', 'budget_exceeded']
G3 39/192: ['ambiguous_solutions', 'ambiguous_solutions']
G3 40/192: ['original_satisfies_constraints', 'original_satisfies_constraints']
G3 41/192: ['no_solution', 'no_solution']
G3 42/192: ['original_satisfies_constraints', 'original_satisfies_constraints']
G3 43/192: ['original_satisfies_constraints', 'original_satisfies_constraints']
G3 44/192: ['ambiguous_solutions', 'ambiguous_solutions']
G3 45/192: ['ambiguous_solutions', 'ambiguous_solutions']
G3 46/192: ['constraint_rejected:constraint document is not externally approved', 'constraint_rejected:constraint document is not externally approved']
G3 47/192: ['unique_solution', 'unique_solution']
G3 48/192: ['budget_exceeded', 'budget_exceeded']
G3 49/192: ['unique_solution', 'unique_solution']
G3 50/192: ['unique_solution', 'unique_solution']
G3 51/192: ['unique_solution', 'unique_solution']
G3 52/192: ['unique_solution', 'unique_solution']
G3 53/192: ['ambiguous_solutions', 'ambiguous_solutions']
G3 54/192: ['ambiguous_solutions', 'ambiguous_solutions']
G3 55/192: ['original_satisfies_constraints', 'original_satisfies_constraints']
G3 56/192: ['original_satisfies_constraints', 'original_satisfies_constraints']
G3 57/192: ['no_solution', 'no_solution']
G3 58/192: ['no_solution', 'no_solution']
G3 59/192: ['original_satisfies_constraints', 'original_satisfies_constraints']
G3 60/192: ['original_satisfies_constraints', 'original_satisfies_constraints']
G3 61/192: ['original_satisfies_constraints', 'original_satisfies_constraints']
G3 62/192: ['original_satisfies_constraints', 'original_satisfies_constraints']
G3 63/192: ['ambiguous_solutions', 'ambiguous_solutions']
G3 64/192: ['ambiguous_solutions', 'ambiguous_solutions']
G3 65/192: ['ambiguous_solutions', 'ambiguous_solutions']
G3 66/192: ['ambiguous_solutions', 'ambiguous_solutions']
G3 67/192: ['constraint_rejected:constraint document is not externally approved', 'constraint_rejected:constraint document is not externally approved']
G3 68/192: ['constraint_rejected:constraint document is not externally approved', 'constraint_rejected:constraint document is not externally approved']
G3 69/192: ['unique_solution', 'unique_solution']
G3 70/192: ['unique_solution', 'unique_solution']
G3 71/192: ['budget_exceeded', 'budget_exceeded']
G3 72/192: ['budget_exceeded', 'budget_exceeded']
G3 73/192: ['unique_solution', 'unique_solution']
G3 74/192: ['unique_solution', 'unique_solution']
G3 75/192: ['unique_solution', 'unique_solution']
G3 76/192: ['unique_solution', 'unique_solution']
G3 77/192: ['ambiguous_solutions', 'ambiguous_solutions']
G3 78/192: ['ambiguous_solutions', 'ambiguous_solutions']
G3 79/192: ['original_satisfies_constraints', 'original_satisfies_constraints']
G3 80/192: ['original_satisfies_constraints', 'original_satisfies_constraints']
G3 81/192: ['no_solution', 'no_solution']
G3 82/192: ['no_solution', 'no_solution']
G3 83/192: ['original_satisfies_constraints', 'original_satisfies_constraints']
G3 84/192: ['original_satisfies_constraints', 'original_satisfies_constraints']
G3 85/192: ['original_satisfies_constraints', 'original_satisfies_constraints']
G3 86/192: ['original_satisfies_constraints', 'original_satisfies_constraints']
G3 87/192: ['ambiguous_solutions', 'ambiguous_solutions']
G3 88/192: ['ambiguous_solutions', 'ambiguous_solutions']
G3 89/192: ['ambiguous_solutions', 'ambiguous_solutions']
G3 90/192: ['ambiguous_solutions', 'ambiguous_solutions']
G3 91/192: ['constraint_rejected:constraint document is not externally approved', 'constraint_rejected:constraint document is not externally approved']
G3 92/192: ['constraint_rejected:constraint document is not externally approved', 'constraint_rejected:constraint document is not externally approved']
G3 93/192: ['unique_solution', 'unique_solution']
G3 94/192: ['unique_solution', 'unique_solution']
G3 95/192: ['budget_exceeded', 'budget_exceeded']
G3 96/192: ['budget_exceeded', 'budget_exceeded']
G3 97/192: ['unique_solution', 'unique_solution']
G3 98/192: ['unique_solution', 'unique_solution']
G3 99/192: ['unique_solution', 'unique_solution']
G3 100/192: ['unique_solution', 'unique_solution']
G3 101/192: ['ambiguous_solutions', 'ambiguous_solutions']
G3 102/192: ['ambiguous_solutions', 'ambiguous_solutions']
G3 103/192: ['original_satisfies_constraints', 'original_satisfies_constraints']
G3 104/192: ['original_satisfies_constraints', 'original_satisfies_constraints']
G3 105/192: ['no_solution', 'no_solution']
G3 106/192: ['no_solution', 'no_solution']
G3 107/192: ['original_satisfies_constraints', 'original_satisfies_constraints']
G3 108/192: ['original_satisfies_constraints', 'original_satisfies_constraints']
G3 109/192: ['original_satisfies_constraints', 'original_satisfies_constraints']
G3 110/192: ['original_satisfies_constraints', 'original_satisfies_constraints']
G3 111/192: ['ambiguous_solutions', 'ambiguous_solutions']
G3 112/192: ['ambiguous_solutions', 'ambiguous_solutions']
G3 113/192: ['ambiguous_solutions', 'ambiguous_solutions']
G3 114/192: ['ambiguous_solutions', 'ambiguous_solutions']
G3 115/192: ['constraint_rejected:constraint document is not externally approved', 'constraint_rejected:constraint document is not externally approved']
G3 116/192: ['constraint_rejected:constraint document is not externally approved', 'constraint_rejected:constraint document is not externally approved']
G3 117/192: ['unique_solution', 'unique_solution']
G3 118/192: ['unique_solution', 'unique_solution']
G3 119/192: ['budget_exceeded', 'budget_exceeded']
G3 120/192: ['budget_exceeded', 'budget_exceeded']
G3 121/192: ['unique_solution', 'unique_solution']
G3 122/192: ['unique_solution', 'unique_solution']
G3 123/192: ['unique_solution', 'unique_solution']
G3 124/192: ['unique_solution', 'unique_solution']
G3 125/192: ['ambiguous_solutions', 'ambiguous_solutions']
G3 126/192: ['ambiguous_solutions', 'ambiguous_solutions']
G3 127/192: ['original_satisfies_constraints', 'original_satisfies_constraints']
G3 128/192: ['original_satisfies_constraints', 'original_satisfies_constraints']
G3 129/192: ['no_solution', 'no_solution']
G3 130/192: ['no_solution', 'no_solution']
G3 131/192: ['original_satisfies_constraints', 'original_satisfies_constraints']
G3 132/192: ['original_satisfies_constraints', 'original_satisfies_constraints']
G3 133/192: ['original_satisfies_constraints', 'original_satisfies_constraints']
G3 134/192: ['original_satisfies_constraints', 'original_satisfies_constraints']
G3 135/192: ['ambiguous_solutions', 'ambiguous_solutions']
G3 136/192: ['ambiguous_solutions', 'ambiguous_solutions']
G3 137/192: ['ambiguous_solutions', 'ambiguous_solutions']
G3 138/192: ['ambiguous_solutions', 'ambiguous_solutions']
G3 139/192: ['constraint_rejected:constraint document is not externally approved', 'constraint_rejected:constraint document is not externally approved']
G3 140/192: ['constraint_rejected:constraint document is not externally approved', 'constraint_rejected:constraint document is not externally approved']
G3 141/192: ['unique_solution', 'unique_solution']
G3 142/192: ['unique_solution', 'unique_solution']
G3 143/192: ['budget_exceeded', 'budget_exceeded']
G3 144/192: ['budget_exceeded', 'budget_exceeded']
G3 145/192: ['unique_solution', 'unique_solution']
G3 146/192: ['unique_solution', 'unique_solution']
G3 147/192: ['unique_solution', 'unique_solution']
G3 148/192: ['unique_solution', 'unique_solution']
G3 149/192: ['ambiguous_solutions', 'ambiguous_solutions']
G3 150/192: ['ambiguous_solutions', 'ambiguous_solutions']
G3 151/192: ['original_satisfies_constraints', 'original_satisfies_constraints']
G3 152/192: ['original_satisfies_constraints', 'original_satisfies_constraints']
G3 153/192: ['no_solution', 'no_solution']
G3 154/192: ['no_solution', 'no_solution']
G3 155/192: ['original_satisfies_constraints', 'original_satisfies_constraints']
G3 156/192: ['original_satisfies_constraints', 'original_satisfies_constraints']
G3 157/192: ['original_satisfies_constraints', 'original_satisfies_constraints']
